student_id,student_name,subjects,skills,interests,target_stream_id,target_broad_pathway,archetype
STU0001,Student_1,Physics;Computer Science;Applied Mathematics;Chemistry,Programming;System Architecture,Engineering;Artificial Intelligence & Data;Technology;Robotics & Automation,S01,Science,Engineering & Tech Aspirant
STU0002,Student_2,Applied Mathematics;Physics;Mathematics,System Architecture;CAD Modeling;Programming,Technology;Artificial Intelligence & Data;Engineering;Game Design & Interactive Media,S01,Science,Engineering & Tech Aspirant
STU0003,Student_3,Physics;Chemistry,Numerical Ability;Logical Thinking,Mathematics & Statistics;Engineering;Technology;Artificial Intelligence & Data,S01,Science,Engineering & Tech Aspirant
STU0004,Student_4,Graphic Design;Chemistry,System Architecture;Programming,Cybersecurity & Networks;Artificial Intelligence & Data;Engineering;Technology,S01,Science,Engineering & Tech Aspirant
STU0005,Student_5,Computer Science;Applied Mathematics;Physics;Mathematics,Programming;Numerical Ability,Robotics & Automation;Technology;Artificial Intelligence & Data;Supply Chain & Logistics,S01,Science,Engineering & Tech Aspirant
STU0006,Student_6,Applied Mathematics;Physics,Problem Solving;System Architecture;Programming,Technology;Engineering,S01,Science,Engineering & Tech Aspirant
STU0007,Student_7,Chemistry;Applied Mathematics;Mathematics,Problem Solving;Numerical Ability;System Architecture,Artificial Intelligence & Data;Cybersecurity & Networks;Biotechnology & Genetics,S01,Science,Engineering & Tech Aspirant
STU0008,Student_8,Physics;Applied Mathematics;Chemistry,Programming;Problem Solving;System Architecture;Logical Thinking,Technology;Engineering;Economics,S01,Science,Engineering & Tech Aspirant
STU0009,Student_9,Mathematics;Computer Science;Physics;Chemistry,Numerical Ability;Programming,Technology;Robotics & Automation;Artificial Intelligence & Data,S01,Science,Engineering & Tech Aspirant
STU0010,Student_10,Physics;Computer Science;Mathematics,Verbal Fluency;Logical Thinking,Artificial Intelligence & Data;Technology;Cybersecurity & Networks;Government & Public Service,S01,Science,Engineering & Tech Aspirant
STU0011,Student_11,Mathematics;Creative Writing,Numerical Ability;System Architecture;Programming,Robotics & Automation;Engineering;Technology;Artificial Intelligence & Data,S01,Science,Engineering & Tech Aspirant
STU0012,Student_12,Chemistry;Cybersecurity Basics,Conceptual Ideation;System Architecture,Artificial Intelligence & Data;Robotics & Automation;Cybersecurity & Networks,S01,Science,Engineering & Tech Aspirant
STU0013,Student_13,Applied Mathematics;Chemistry;Computer Science;Physics,Numerical Ability;System Architecture;Programming,Technology;Journalism & Mass Media;Engineering;Cybersecurity & Networks,S01,Science,Engineering & Tech Aspirant
STU0014,Student_14,Chemistry;Physics;Applied Mathematics;Computer Science,Logical Thinking;System Architecture;Programming,Cybersecurity & Networks;Artificial Intelligence & Data;Robotics & Automation,S01,Science,Engineering & Tech Aspirant
STU0015,Student_15,Mathematics;Computer Science;Physics;Chemistry,Programming;Logical Thinking,Technology;Artificial Intelligence & Data;Engineering,S01,Science,Engineering & Tech Aspirant
STU0016,Student_16,Computer Science;Chemistry;Applied Mathematics;Mathematics,Numerical Ability;System Architecture;Problem Solving,Technology;Engineering,S01,Science,Engineering & Tech Aspirant
STU0017,Student_17,Computer Science;Statistics;Mathematics;Chemistry,Audio Production;Numerical Ability;Logical Thinking;Problem Solving,Artificial Intelligence & Data;Cybersecurity & Networks;Engineering,S01,Science,Engineering & Tech Aspirant
STU0018,Student_18,Chemistry;Computer Science,Cross-Cultural Sensitivity;Numerical Ability,Engineering;Cybersecurity & Networks;Technology;Marketing & Brand Strategy,S01,Science,Engineering & Tech Aspirant
STU0019,Student_19,Physics;Creative Writing;Applied Mathematics,Problem Solving;Programming;Numerical Ability;System Architecture,Engineering;Cybersecurity & Networks;Technology,S01,Science,Engineering & Tech Aspirant
STU0020,Student_20,Chemistry;Computer Science,Problem Solving;System Architecture;Programming;Logical Thinking,Cybersecurity & Networks;Robotics & Automation;Technology;Artificial Intelligence & Data,S01,Science,Engineering & Tech Aspirant
STU0021,Student_21,Mathematics;Chemistry;Physics;Applied Mathematics,Leadership;Logical Thinking;Numerical Ability;System Architecture,Engineering;Robotics & Automation,S01,Science,Engineering & Tech Aspirant
STU0022,Student_22,Applied Mathematics;Chemistry;Physics;Computer Science,System Architecture;Programming,Robotics & Automation;Cybersecurity & Networks,S01,Science,Engineering & Tech Aspirant
STU0023,Student_23,Applied Mathematics;Computer Science;Meteorology,Problem Solving;Numerical Ability;System Architecture,Technology;Cybersecurity & Networks;Engineering,S01,Science,Engineering & Tech Aspirant
STU0024,Student_24,Mathematics;Chemistry,System Architecture;Programming;Machine Learning Pipeline,Artificial Intelligence & Data;Human Rights & Advocacy;Robotics & Automation,S01,Science,Engineering & Tech Aspirant
STU0025,Student_25,Physics;Chemistry;Computer Science,Numerical Ability;Problem Solving;System Architecture;Programming,Technology;Robotics & Automation;Engineering,S01,Science,Engineering & Tech Aspirant
STU0026,Student_26,Chemistry;Mathematics;Computer Science;Physics,Problem Solving;Teamwork,Artificial Intelligence & Data;Technology;Robotics & Automation,S01,Science,Engineering & Tech Aspirant
STU0027,Student_27,Computer Science;Mathematics,Problem Solving;Logical Thinking;Numerical Ability,Robotics & Automation;Technology;Cybersecurity & Networks;Artificial Intelligence & Data,S07,Humanities,Engineering & Tech Aspirant
STU0028,Student_28,Mathematics;Applied Mathematics;Food Production,Logical Thinking;Programming;System Architecture;Problem Solving,Engineering;Technology;Artificial Intelligence & Data,S01,Science,Engineering & Tech Aspirant
STU0029,Student_29,Computer Science;Physics;Applied Mathematics,Numerical Ability;System Architecture;Programming;Logical Thinking,Engineering;Robotics & Automation,S01,Science,Engineering & Tech Aspirant
STU0030,Student_30,Applied Mathematics;Mathematics;Chemistry,Problem Solving;System Architecture;Numerical Ability;Logical Thinking,Technology;Artificial Intelligence & Data;Engineering,S01,Science,Engineering & Tech Aspirant
STU0031,Student_31,Computer Science;Mathematics;Physics,Logical Thinking;Problem Solving,Cybersecurity & Networks;Technology;Mental Health & Wellbeing,S01,Science,Engineering & Tech Aspirant
STU0032,Student_32,Applied Mathematics;Physics;Computer Science;Mathematics,Numerical Ability;System Architecture;Logical Thinking,Engineering;Technology;Artificial Intelligence & Data,S01,Science,Engineering & Tech Aspirant
STU0033,Student_33,Chemistry;Applied Mathematics,Numerical Ability;Programming;Logical Thinking,Technology;Psychology;Cybersecurity & Networks,S03,Science,Engineering & Tech Aspirant
STU0034,Student_34,Computer Science;Applied Mathematics;Mathematics;Chemistry,Numerical Ability;Programming;Logical Thinking,Event Planning & Management;Engineering,S01,Science,Engineering & Tech Aspirant
STU0035,Student_35,Computer Science;Physics;Chemistry;Mathematics,Problem Solving;System Architecture;Programming,E-Commerce & Digital Business;Artificial Intelligence & Data;Robotics & Automation,S01,Science,Engineering & Tech Aspirant
STU0036,Student_36,Physics;Applied Mathematics;Computer Science;Mathematics,Programming;Logical Thinking;Numerical Ability;System Architecture,Cybersecurity & Networks;Artificial Intelligence & Data;Engineering,S01,Science,Engineering & Tech Aspirant
STU0037,Student_37,Computer Science;Early Childhood Care;Mathematics,Numerical Ability;Logical Thinking;Problem Solving,Cybersecurity & Networks;Engineering;Technology,S01,Science,Engineering & Tech Aspirant
STU0038,Student_38,Mathematics;Applied Mathematics;Computer Science;Physics,System Architecture;Programming;Logical Thinking;Problem Solving,Artificial Intelligence & Data;Robotics & Automation,S01,Science,Engineering & Tech Aspirant
STU0039,Student_39,Mathematics;Computer Science;Applied Mathematics;Physics,Decision Making;System Architecture;Problem Solving,Technology;Cybersecurity & Networks;Artificial Intelligence & Data;Engineering,S01,Science,Engineering & Tech Aspirant
STU0040,Student_40,Chemistry;Physics,Programming;Numerical Ability,Engineering;Robotics & Automation;Game Design & Interactive Media,S01,Science,Engineering & Tech Aspirant
