student_id,student_name,subjects,skills,interests,target_stream_id,target_broad_pathway,archetype
STU0001,Student_1,Computer Science;Physics;Chemistry,Logical Thinking;Numerical Ability,Engineering;Technology;Artificial Intelligence & Data;Cybersecurity & Networks,S01,Science,Engineering & Tech Aspirant
STU0002,Student_2,Mathematics;Applied Mathematics;Physics;Computer Science,Programming;Problem Solving;System Architecture,Robotics & Automation;Technology;Cybersecurity & Networks;Engineering,S01,Science,Engineering & Tech Aspirant
STU0003,Student_3,Chemistry;Mathematics;Physics,System Architecture;Logical Thinking;Numerical Ability,Robotics & Automation;Artificial Intelligence & Data,S01,Science,Engineering & Tech Aspirant
STU0004,Student_4,Physics;Chemistry,Programming;System Architecture,Engineering;Artificial Intelligence & Data,S01,Science,Engineering & Tech Aspirant
STU0005,Student_5,Applied Mathematics;Physics;Computer Science;Chemistry,System Architecture;Problem Solving,Cybersecurity & Networks;Engineering,S01,Science,Engineering & Tech Aspirant
STU0006,Student_6,Computer Science;Mathematics;Applied Mathematics;Chemistry,System Architecture;System Architecture;Programming;Numerical Ability,Artificial Intelligence & Data;Engineering,S01,Science,Engineering & Tech Aspirant
STU0007,Student_7,Applied Mathematics;Computer Science;Chemistry,Programming;Logical Thinking;Problem Solving;System Architecture,Technology;Cybersecurity & Networks;Engineering,S01,Science,Engineering & Tech Aspirant
STU0008,Student_8,Mathematics;Physics;Applied Mathematics;Chemistry,Programming;System Architecture,Technology;Cybersecurity & Networks;Public Health,S01,Science,Engineering & Tech Aspirant
STU0009,Student_9,Chemistry;Applied Mathematics;Computer Science;Mathematics,Numerical Ability;Programming;Logical Thinking;System Architecture,Robotics & Automation;Cybersecurity & Networks,S01,Science,Engineering & Tech Aspirant
STU0010,Student_10,Applied Mathematics;Computer Science,Logical Thinking;Numerical Ability,Cybersecurity & Networks;Artificial Intelligence & Data;Public Policy & Governance,S01,Science,Engineering & Tech Aspirant
STU0011,Student_11,Mathematics;Computer Science;Physics,Problem Solving;Programming,Technology;Robotics & Automation;Cybersecurity & Networks;Artificial Intelligence & Data,S01,Science,Engineering & Tech Aspirant
STU0012,Student_12,Applied Mathematics;Film Studies;Chemistry,Logical Thinking;Problem Solving;Numerical Ability;Programming,Engineering;Cybersecurity & Networks;Artificial Intelligence & Data;Public Policy & Governance,S01,Science,Engineering & Tech Aspirant
STU0013,Student_13,Chemistry;Computer Science;Physics;Applied Mathematics,Logical Thinking;System Architecture;Programming;Problem Solving,Robotics & Automation;Engineering;Artificial Intelligence & Data,S01,Science,Engineering & Tech Aspirant
STU0014,Student_14,Chemistry;Mathematics;Physics;Applied Mathematics,Numerical Ability;Programming,Journalism & Mass Media;Artificial Intelligence & Data;Engineering;Technology,S01,Science,Engineering & Tech Aspirant
STU0015,Student_15,Chemistry;Physics;Computer Science;Mathematics,Numerical Ability;Problem Solving;Empathy;Programming,Engineering;Robotics & Automation;Cybersecurity & Networks;Artificial Intelligence & Data,S01,Science,Engineering & Tech Aspirant
STU0016,Student_16,Mathematics;Computer Science,Problem Solving;System Architecture;Logical Thinking,Technology;Cybersecurity & Networks;Artificial Intelligence & Data,S08,Other,Engineering & Tech Aspirant
STU0017,Student_17,Mathematics;Computer Science;Chemistry,Problem Solving;Logical Thinking,Cybersecurity & Networks;Technology;Robotics & Automation;Engineering;Science & Research,S01,Science,Engineering & Tech Aspirant
STU0018,Student_18,Chemistry;Mathematics;Physics,Programming;Logical Thinking;Numerical Ability;Problem Solving,Robotics & Automation;Technology;Artificial Intelligence & Data;Engineering,S01,Science,Engineering & Tech Aspirant
STU0019,Student_19,Mathematics;Applied Mathematics;Chemistry;Physics,Numerical Ability;Problem Solving,Robotics & Automation;Design & Visual Arts;Technology,S01,Science,Engineering & Tech Aspirant
STU0020,Student_20,Computer Science;Chemistry,Logical Thinking;Problem Solving;System Architecture,Engineering;Cybersecurity & Networks;Artificial Intelligence & Data,S01,Science,Engineering & Tech Aspirant
STU0021,Student_21,Physics;Mathematics,Programming;System Architecture,Technology;Cybersecurity & Networks,S01,Science,Engineering & Tech Aspirant
STU0022,Student_22,Chemistry;Applied Mathematics;Mathematics;Physics,Numerical Ability;Programming,Robotics & Automation;Engineering,S01,Science,Engineering & Tech Aspirant
STU0023,Student_23,Physics;Computer Science,System Architecture;Programming,Artificial Intelligence & Data;Technology;Robotics & Automation;Engineering;Design & Visual Arts,S01,Science,Engineering & Tech Aspirant
STU0024,Student_24,Physics;Computer Science;Mathematics;Chemistry,System Architecture;Logical Thinking,Technology;Robotics & Automation;Engineering;Artificial Intelligence & Data,S01,Science,Engineering & Tech Aspirant
STU0025,Student_25,Chemistry;Applied Mathematics,Problem Solving;Logical Thinking;System Architecture;Programming,Cybersecurity & Networks;Artificial Intelligence & Data,S01,Science,Engineering & Tech Aspirant
STU0026,Student_26,Physics;Computer Science,Programming;Problem Solving,Artificial Intelligence & Data;Robotics & Automation;Technology;Engineering,S01,Science,Engineering & Tech Aspirant
STU0027,Student_27,Mathematics;Chemistry,Numerical Ability;Programming;Logical Thinking;Problem Solving,Technology;Robotics & Automation;Artificial Intelligence & Data,S01,Science,Engineering & Tech Aspirant
STU0028,Student_28,Computer Science;Physics;Mathematics;Applied Mathematics,Programming;System Architecture;Numerical Ability,Robotics & Automation;Technology,S07,Humanities,Engineering & Tech Aspirant
STU0029,Student_29,Mathematics;Philosophy,Logical Thinking;System Architecture;Programming,Artificial Intelligence & Data;Cybersecurity & Networks,S01,Science,Engineering & Tech Aspirant
STU0030,Student_30,Chemistry;Physics;Applied Mathematics;Computer Science,Numerical Ability;Programming;Logical Thinking,Robotics & Automation;Technology;Artificial Intelligence & Data;Engineering,S01,Science,Engineering & Tech Aspirant
